epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8477,0.95959,1.10762,1.1457,0.95831,0.77149,0.995,0.83864,0.62331,0.78974,0.98691,0.000468772,0.000468772,0.000468772
2,30.2878,0.46314,0.39428,0.88653,0.99997,1,0.995,0.9336,0.36816,0.35071,0.83848,0.000935749,0.000935749,0.000935749
3,44.6659,0.38197,0.32998,0.85583,0.99998,1,0.995,0.97641,0.25438,0.26283,0.79643,0.00139329,0.00139329,0.00139329
4,59.9013,0.36606,0.3122,0.84604,0.99997,1,0.995,0.94474,0.29401,0.28162,0.79628,0.00138656,0.00138656,0.00138656
5,75.2351,0.30357,0.26888,0.82643,0.99998,1,0.995,0.98668,0.2546,0.2461,0.79021,0.00137241,0.00137241,0.00137241
6,90.9939,0.27459,0.24495,0.81655,0.99998,1,0.995,0.97928,0.2507,0.22953,0.78902,0.00135826,0.00135826,0.00135826
7,106.595,0.26168,0.22824,0.81626,0.99998,1,0.995,0.99476,0.2057,0.221,0.76979,0.00134412,0.00134412,0.00134412
8,122.187,0.24657,0.21991,0.81234,0.99998,1,0.995,0.995,0.2038,0.19154,0.77474,0.00132997,0.00132997,0.00132997
9,137.319,0.23009,0.21332,0.80635,0.99999,1,0.995,0.995,0.15715,0.18828,0.7618,0.00131582,0.00131582,0.00131582
10,152.262,0.21728,0.19932,0.79928,0.99998,1,0.995,0.995,0.16471,0.17976,0.75824,0.00130168,0.00130168,0.00130168
11,167.708,0.23483,0.1998,0.80697,0.99999,1,0.995,0.995,0.14457,0.18339,0.75446,0.00128753,0.00128753,0.00128753
12,183.201,0.20557,0.186,0.8034,0.99999,1,0.995,0.995,0.17049,0.1687,0.75591,0.00127338,0.00127338,0.00127338
13,198.556,0.19763,0.1866,0.79651,1,1,0.995,0.995,0.13531,0.15807,0.74934,0.00125923,0.00125923,0.00125923
14,213.511,0.20129,0.18398,0.79927,0.99998,1,0.995,0.995,0.18199,0.18068,0.75985,0.00124509,0.00124509,0.00124509
15,228.369,0.20316,0.18026,0.79653,1,1,0.995,0.995,0.15955,0.17061,0.75813,0.00123094,0.00123094,0.00123094
16,243.418,0.20075,0.17396,0.79446,0.99999,1,0.995,0.995,0.12865,0.15464,0.74795,0.00121679,0.00121679,0.00121679
17,258.525,0.18372,0.16961,0.79335,0.99998,1,0.995,0.995,0.12077,0.13396,0.74522,0.00120265,0.00120265,0.00120265
18,273.413,0.17398,0.16216,0.79076,0.99999,1,0.995,0.995,0.16094,0.14589,0.74921,0.0011885,0.0011885,0.0011885
19,288.193,0.19171,0.17281,0.79349,0.99999,1,0.995,0.995,0.14188,0.15829,0.74858,0.00117435,0.00117435,0.00117435
20,303.118,0.18321,0.16953,0.79509,0.99999,1,0.995,0.995,0.11986,0.13332,0.74442,0.00116021,0.00116021,0.00116021
21,318.311,0.18466,0.16619,0.79578,0.99999,1,0.995,0.995,0.14347,0.12349,0.74843,0.00114606,0.00114606,0.00114606
22,333.841,0.17609,0.15963,0.79513,0.99999,1,0.995,0.995,0.1189,0.11695,0.743,0.00113191,0.00113191,0.00113191
23,349.636,0.16532,0.15533,0.78802,0.99999,1,0.995,0.995,0.12865,0.14379,0.74535,0.00111776,0.00111776,0.00111776
24,365.021,0.16528,0.15442,0.78981,1,1,0.995,0.995,0.10627,0.12587,0.73813,0.00110362,0.00110362,0.00110362
25,380.57,0.15099,0.14187,0.78605,0.99999,1,0.995,0.995,0.13179,0.12667,0.74197,0.00108947,0.00108947,0.00108947
26,395.998,0.15295,0.14374,0.78517,0.99999,1,0.995,0.995,0.09482,0.09514,0.73789,0.00107532,0.00107532,0.00107532
27,411.029,0.14892,0.14365,0.78873,0.99999,1,0.995,0.995,0.10592,0.10699,0.74059,0.00106118,0.00106118,0.00106118
28,426.048,0.14795,0.14115,0.78668,0.99999,1,0.995,0.995,0.10633,0.11107,0.73939,0.00104703,0.00104703,0.00104703
29,441.137,0.14998,0.1396,0.78603,0.99999,1,0.995,0.995,0.08837,0.09408,0.73731,0.00103288,0.00103288,0.00103288
30,456.067,0.14852,0.13456,0.78878,0.99999,1,0.995,0.995,0.11199,0.12252,0.74326,0.00101873,0.00101873,0.00101873
31,470.849,0.14058,0.13106,0.78666,0.99999,1,0.995,0.995,0.11177,0.10593,0.7402,0.00100459,0.00100459,0.00100459
32,485.649,0.1446,0.13328,0.78387,0.99999,1,0.995,0.995,0.11223,0.11325,0.73845,0.00099044,0.00099044,0.00099044
33,500.626,0.14347,0.13154,0.78515,0.99999,1,0.995,0.995,0.08546,0.11896,0.73661,0.000976293,0.000976293,0.000976293
34,515.544,0.13917,0.13133,0.78619,0.99999,1,0.995,0.995,0.09428,0.09909,0.73802,0.000962146,0.000962146,0.000962146
35,530.593,0.1427,0.13284,0.78098,1,1,0.995,0.995,0.09664,0.10144,0.73877,0.000947999,0.000947999,0.000947999
36,545.734,0.13642,0.1262,0.78874,0.99999,1,0.995,0.995,0.11279,0.10094,0.74089,0.000933851,0.000933851,0.000933851
37,560.972,0.14129,0.12881,0.78399,1,1,0.995,0.995,0.10107,0.11546,0.73797,0.000919704,0.000919704,0.000919704
38,576.321,0.13719,0.12698,0.78338,1,1,0.995,0.995,0.10618,0.10561,0.73806,0.000905557,0.000905557,0.000905557
39,591.316,0.13794,0.12929,0.78396,0.99999,1,0.995,0.995,0.11827,0.11753,0.73922,0.00089141,0.00089141,0.00089141
40,606.423,0.13754,0.12775,0.78539,1,1,0.995,0.995,0.10861,0.1016,0.73714,0.000877263,0.000877263,0.000877263
41,621.614,0.13414,0.12251,0.78279,0.99999,1,0.995,0.995,0.09477,0.08253,0.73586,0.000863116,0.000863116,0.000863116
42,638.069,0.12336,0.11979,0.78578,1,1,0.995,0.995,0.07584,0.08015,0.73478,0.000848969,0.000848969,0.000848969
43,653.989,0.12202,0.11599,0.78371,1,1,0.995,0.995,0.09807,0.09184,0.7377,0.000834822,0.000834822,0.000834822
44,669.315,0.12528,0.11638,0.78467,0.99999,1,0.995,0.995,0.07694,0.07983,0.73478,0.000820675,0.000820675,0.000820675
45,684.743,0.12107,0.11509,0.77835,0.99999,1,0.995,0.995,0.08001,0.08099,0.73419,0.000806528,0.000806528,0.000806528
46,700.254,0.12248,0.1164,0.78506,0.99999,1,0.995,0.995,0.09022,0.10129,0.73554,0.00079238,0.00079238,0.00079238
47,715.772,0.11958,0.11399,0.78254,0.99999,1,0.995,0.995,0.07548,0.08376,0.73373,0.000778233,0.000778233,0.000778233
48,731.064,0.12031,0.11482,0.78101,1,1,0.995,0.995,0.07785,0.08052,0.73389,0.000764086,0.000764086,0.000764086
49,746.219,0.11498,0.1087,0.78229,1,1,0.995,0.995,0.07354,0.07492,0.73293,0.000749939,0.000749939,0.000749939
50,761.368,0.12005,0.11207,0.78583,1,1,0.995,0.995,0.08381,0.07894,0.73476,0.000735792,0.000735792,0.000735792
51,776.577,0.11724,0.11091,0.78074,0.99999,1,0.995,0.995,0.07011,0.07972,0.73437,0.000721645,0.000721645,0.000721645
52,791.519,0.11782,0.10928,0.77974,1,1,0.995,0.995,0.08513,0.08907,0.73509,0.000707498,0.000707498,0.000707498
53,806.489,0.11338,0.10647,0.7772,1,1,0.995,0.995,0.07107,0.07558,0.73394,0.000693351,0.000693351,0.000693351
54,821.357,0.1144,0.10775,0.77788,1,1,0.995,0.995,0.12021,0.10742,0.73902,0.000679204,0.000679204,0.000679204
55,836.375,0.10913,0.10484,0.77976,1,1,0.995,0.995,0.078,0.07884,0.73439,0.000665057,0.000665057,0.000665057
56,851.518,0.11444,0.10765,0.78325,0.99999,1,0.995,0.995,0.06217,0.07608,0.73184,0.000650909,0.000650909,0.000650909
57,866.611,0.10588,0.10075,0.7798,1,1,0.995,0.995,0.07061,0.07432,0.73225,0.000636762,0.000636762,0.000636762
58,881.841,0.10664,0.10166,0.77972,0.99999,1,0.995,0.995,0.06842,0.07035,0.73309,0.000622615,0.000622615,0.000622615
59,896.955,0.10567,0.1008,0.77342,1,1,0.995,0.995,0.07063,0.07986,0.73376,0.000608468,0.000608468,0.000608468
60,912,0.10797,0.10311,0.77862,1,1,0.995,0.995,0.09594,0.08626,0.73487,0.000594321,0.000594321,0.000594321
61,926.988,0.09943,0.09463,0.77993,0.99999,1,0.995,0.995,0.07156,0.07409,0.73335,0.000580174,0.000580174,0.000580174
62,942.206,0.1025,0.09687,0.77962,0.99999,1,0.995,0.995,0.07014,0.08134,0.73312,0.000566027,0.000566027,0.000566027
63,957.333,0.10061,0.09476,0.77526,1,1,0.995,0.995,0.06072,0.06796,0.73178,0.00055188,0.00055188,0.00055188
64,972.386,0.1043,0.09688,0.77958,1,1,0.995,0.995,0.06591,0.06247,0.73246,0.000537733,0.000537733,0.000537733
65,987.385,0.10179,0.09573,0.77755,1,1,0.995,0.995,0.05906,0.06116,0.73199,0.000523586,0.000523586,0.000523586
66,1002.55,0.09853,0.09426,0.78052,0.99999,1,0.995,0.995,0.06568,0.06936,0.7328,0.000509438,0.000509438,0.000509438
67,1017.73,0.09875,0.09457,0.77957,1,1,0.995,0.995,0.06717,0.06644,0.7322,0.000495291,0.000495291,0.000495291
68,1032.56,0.09687,0.09318,0.77802,0.99999,1,0.995,0.995,0.06568,0.06394,0.73126,0.000481144,0.000481144,0.000481144
69,1047.64,0.09394,0.09022,0.77969,1,1,0.995,0.995,0.06216,0.06339,0.73238,0.000466997,0.000466997,0.000466997
70,1062.87,0.09463,0.09094,0.77804,1,1,0.995,0.995,0.06673,0.06804,0.73238,0.00045285,0.00045285,0.00045285
71,1077.86,0.09496,0.09052,0.77383,1,1,0.995,0.995,0.05417,0.065,0.73161,0.000438703,0.000438703,0.000438703
72,1092.95,0.0928,0.08987,0.77488,1,1,0.995,0.995,0.05203,0.05435,0.7309,0.000424556,0.000424556,0.000424556
73,1107.96,0.09272,0.09038,0.77659,1,1,0.995,0.995,0.06819,0.06636,0.73175,0.000410409,0.000410409,0.000410409
74,1123.16,0.09371,0.09113,0.77432,0.99999,1,0.995,0.995,0.06232,0.0752,0.73223,0.000396262,0.000396262,0.000396262
75,1138.33,0.09061,0.08759,0.7778,0.99999,1,0.995,0.995,0.06544,0.07626,0.7315,0.000382115,0.000382115,0.000382115
76,1152.99,0.08872,0.08513,0.77556,0.99999,1,0.995,0.995,0.07711,0.07594,0.73312,0.000367967,0.000367967,0.000367967
77,1167.13,0.08928,0.08489,0.77689,0.99999,1,0.995,0.995,0.05531,0.05907,0.73163,0.00035382,0.00035382,0.00035382
78,1181.38,0.08755,0.08354,0.77436,0.99999,1,0.995,0.995,0.05975,0.06088,0.73162,0.000339673,0.000339673,0.000339673
79,1195.9,0.08625,0.08211,0.77823,0.99999,1,0.995,0.995,0.05587,0.07046,0.7299,0.000325526,0.000325526,0.000325526
80,1210.08,0.08115,0.07876,0.77622,1,1,0.995,0.995,0.06409,0.06601,0.73181,0.000311379,0.000311379,0.000311379
81,1224.21,0.08423,0.08103,0.7734,1,1,0.995,0.995,0.05405,0.06647,0.72999,0.000297232,0.000297232,0.000297232
82,1238.34,0.08116,0.07674,0.77621,1,1,0.995,0.995,0.06093,0.06187,0.73114,0.000283085,0.000283085,0.000283085
83,1252.43,0.0848,0.0812,0.7795,1,1,0.995,0.995,0.06472,0.07144,0.73048,0.000268938,0.000268938,0.000268938
84,1266.5,0.0813,0.07831,0.77181,1,1,0.995,0.995,0.05412,0.05762,0.73058,0.000254791,0.000254791,0.000254791
85,1280.65,0.08316,0.07829,0.77919,1,1,0.995,0.995,0.05514,0.05251,0.73061,0.000240644,0.000240644,0.000240644
86,1294.72,0.08208,0.07702,0.77007,0.99999,1,0.995,0.995,0.04903,0.04781,0.73053,0.000226497,0.000226497,0.000226497
87,1308.86,0.07801,0.07491,0.77616,0.99999,1,0.995,0.995,0.05296,0.05088,0.73039,0.000212349,0.000212349,0.000212349
88,1322.97,0.0794,0.07521,0.77831,1,1,0.995,0.995,0.05955,0.05261,0.73046,0.000198202,0.000198202,0.000198202
89,1337.08,0.07698,0.073,0.77382,1,1,0.995,0.995,0.05827,0.05099,0.73018,0.000184055,0.000184055,0.000184055
90,1351.37,0.0756,0.07073,0.77815,1,1,0.995,0.995,0.05188,0.05244,0.73017,0.000169908,0.000169908,0.000169908
91,1366.26,0.06278,0.06376,0.76115,1,1,0.995,0.995,0.04747,0.05301,0.72944,0.000155761,0.000155761,0.000155761
