epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.79925,1.81305,3.48157,1.19009,0.03,1,0.45806,0.26141,1.21105,3.3946,0.95365,0.00025722,0.00025722,0.00025722
2,4.61342,1.39125,1.55022,0.9598,1,0.3881,0.88609,0.62625,1.11915,2.67149,0.99777,0.000518261,0.000518261,0.000518261
3,6.3384,1.05025,0.89997,0.90247,1,0.94954,0.995,0.8258,0.70209,1.4888,0.87802,0.00076855,0.00076855,0.00076855
4,8.00362,0.8346,0.70867,0.87425,0.99935,0.97985,0.995,0.82723,0.73446,0.74306,0.89242,0.00100809,0.00100809,0.00100809
5,9.68897,0.73834,0.63282,0.85348,0.99618,0.98986,0.995,0.81136,0.75266,0.76352,0.88295,0.00123687,0.00123687,0.00123687
6,11.3551,0.70105,0.60792,0.84436,0.99934,1,0.995,0.83957,0.73608,0.76619,0.87805,0.00128753,0.00128753,0.00128753
7,13.1701,0.71704,0.59054,0.84392,0.99921,1,0.995,0.86711,0.55024,0.66455,0.84034,0.00125923,0.00125923,0.00125923
8,14.9539,0.61848,0.53878,0.83798,0.99961,1,0.995,0.89757,0.51327,0.54923,0.8256,0.00123094,0.00123094,0.00123094
9,16.8278,0.58681,0.51151,0.82304,0.99983,1,0.995,0.90386,0.48636,0.48921,0.83135,0.00120265,0.00120265,0.00120265
10,18.5598,0.55971,0.48344,0.82333,0.99991,1,0.995,0.91964,0.36884,0.4789,0.82071,0.00117435,0.00117435,0.00117435
11,20.2867,0.50812,0.45278,0.81965,0.99987,1,0.995,0.96509,0.33334,0.42016,0.8181,0.00114606,0.00114606,0.00114606
12,22.0389,0.49317,0.44099,0.81145,0.99991,1,0.995,0.96328,0.37216,0.43013,0.81593,0.00111776,0.00111776,0.00111776
13,23.7855,0.45627,0.43789,0.81142,0.99991,1,0.995,0.94399,0.3133,0.4689,0.81627,0.00108947,0.00108947,0.00108947
14,25.6054,0.45832,0.42733,0.81,0.99984,1,0.995,0.96438,0.3191,0.36467,0.81322,0.00106118,0.00106118,0.00106118
15,27.4061,0.44468,0.40885,0.80555,0.9999,1,0.995,0.97469,0.32493,0.3726,0.81457,0.00103288,0.00103288,0.00103288
16,29.2683,0.44766,0.40754,0.80266,0.99984,1,0.995,0.9819,0.27604,0.37774,0.80577,0.00100459,0.00100459,0.00100459
17,31.2163,0.40952,0.39382,0.79949,0.99989,1,0.995,0.98879,0.27489,0.34767,0.8111,0.000976293,0.000976293,0.000976293
18,33.0364,0.39464,0.3855,0.79941,0.99989,1,0.995,0.96233,0.28689,0.34338,0.81112,0.000947999,0.000947999,0.000947999
19,34.8175,0.39598,0.37393,0.79916,0.99991,1,0.995,0.99027,0.25682,0.30982,0.80729,0.000919704,0.000919704,0.000919704
20,36.6058,0.37836,0.36466,0.80088,0.99989,1,0.995,0.98501,0.25584,0.33291,0.80726,0.00089141,0.00089141,0.00089141
21,38.317,0.34492,0.35082,0.78494,0.99988,1,0.995,0.98951,0.21529,0.32138,0.80299,0.000863116,0.000863116,0.000863116
22,40.0812,0.37329,0.35059,0.79505,0.9999,1,0.995,0.99162,0.22127,0.29463,0.80157,0.000834822,0.000834822,0.000834822
23,41.7874,0.35915,0.34671,0.80105,0.99984,1,0.995,0.9853,0.21042,0.30213,0.80507,0.000806528,0.000806528,0.000806528
24,43.6092,0.35358,0.33711,0.79372,0.99991,1,0.995,0.98362,0.24357,0.3042,0.80457,0.000778233,0.000778233,0.000778233
25,45.5328,0.35277,0.33806,0.79478,0.99987,1,0.995,0.98694,0.21439,0.29939,0.80369,0.000749939,0.000749939,0.000749939
26,47.3131,0.34246,0.3391,0.80324,0.99988,1,0.995,0.98812,0.23838,0.26843,0.80517,0.000721645,0.000721645,0.000721645
27,49.1202,0.30616,0.30825,0.79193,0.99993,1,0.995,0.99496,0.20071,0.26469,0.80131,0.000693351,0.000693351,0.000693351
